,Monday_1,Monday_2,Monday_3,Monday_4,Monday_5,Monday_6,Monday_7,Monday_8,Monday_9,Monday_10,Monday_11,Monday_12,Monday_13,Monday_14,Monday_15,Monday_16,Monday_17,Monday_18,Monday_19,Monday_20,Monday_21,Monday_22,Monday_23,Monday_24,Tuesday_1,Tuesday_2,Tuesday_3,Tuesday_4,Tuesday_5,Tuesday_6,Tuesday_7,Tuesday_8,Tuesday_9,Tuesday_10,Tuesday_11,Tuesday_12,Tuesday_13,Tuesday_14,Tuesday_15,Tuesday_16,Tuesday_17,Tuesday_18,Tuesday_19,Tuesday_20,Tuesday_21,Tuesday_22,Tuesday_23,Tuesday_24,Wednesday_1,Wednesday_2,Wednesday_3,Wednesday_4,Wednesday_5,Wednesday_6,Wednesday_7,Wednesday_8,Wednesday_9,Wednesday_10,Wednesday_11,Wednesday_12,Wednesday_13,Wednesday_14,Wednesday_15,Wednesday_16,Wednesday_17,Wednesday_18,Wednesday_19,Wednesday_20,Wednesday_21,Wednesday_22,Wednesday_23,Wednesday_24,Thursday_1,Thursday_2,Thursday_3,Thursday_4,Thursday_5,Thursday_6,Thursday_7,Thursday_8,Thursday_9,Thursday_10,Thursday_11,Thursday_12,Thursday_13,Thursday_14,Thursday_15,Thursday_16,Thursday_17,Thursday_18,Thursday_19,Thursday_20,Thursday_21,Thursday_22,Thursday_23,Thursday_24,Friday_1,Friday_2,Friday_3,Friday_4,Friday_5,Friday_6,Friday_7,Friday_8,Friday_9,Friday_10,Friday_11,Friday_12,Friday_13,Friday_14,Friday_15,Friday_16,Friday_17,Friday_18,Friday_19,Friday_20,Friday_21,Friday_22,Friday_23,Friday_24,Saturday_1,Saturday_2,Saturday_3,Saturday_4,Saturday_5,Saturday_6,Saturday_7,Saturday_8,Saturday_9,Saturday_10,Saturday_11,Saturday_12,Saturday_13,Saturday_14,Saturday_15,Saturday_16,Saturday_17,Saturday_18,Saturday_19,Saturday_20,Saturday_21,Saturday_22,Saturday_23,Saturday_24,Sunday_1,Sunday_2,Sunday_3,Sunday_4,Sunday_5,Sunday_6,Sunday_7,Sunday_8,Sunday_9,Sunday_10,Sunday_11,Sunday_12,Sunday_13,Sunday_14,Sunday_15,Sunday_16,Sunday_17,Sunday_18,Sunday_19,Sunday_20,Sunday_21,Sunday_22,Sunday_23,Sunday_24,id_google,category,latitude_bld,longitude_bld,latitude,longitude,distance,cluster
155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,58,85,83,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,52,55,59,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,60,78,82,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,69,87,100,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,61,75,74,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,46,63,57,35,0,0,0,ChIJ3dmr7OW6j4ARdga458ttjlg,restaurant,37.42661689999999,-122.1449195,37.426,-122.146,117.6191708281266,9
156,0,0,0,0,0,0,0,23,38,22,15,20,20,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,36,26,25,26,21,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,37,37,30,24,22,20,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,43,35,28,28,26,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,36,43,42,36,31,28,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,40,52,55,50,41,31,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,55,84,100,92,69,45,26,0,0,0,0,0,0,0,0,0,ChIJ06EYWO-6j4AR5x1zss9iick,bakery,37.42540839999999,-122.1453292,37.426,-122.146,88.52372571733288,9
157,0,0,0,0,0,0,5,15,35,62,86,96,86,66,49,44,48,51,46,33,18,6,0,0,0,0,0,0,0,0,10,22,37,52,62,63,58,51,48,54,63,67,61,46,28,14,0,0,0,0,0,0,0,0,8,17,32,49,63,69,63,53,45,47,58,68,69,57,38,20,0,0,0,0,0,0,0,0,11,23,39,56,70,76,73,63,54,53,62,70,64,45,24,9,0,0,0,0,0,0,0,0,9,22,41,62,73,71,56,40,36,52,80,99,90,59,27,8,0,0,0,0,0,0,0,0,5,13,29,51,73,88,92,88,86,89,90,83,66,43,23,10,0,0,0,0,0,0,0,0,3,11,28,53,82,100,97,78,60,59,74,85,74,47,23,9,0,0,ChIJn6yiduG6j4ARBP9ci2gGMws,park,37.431507,-122.147651,37.426,-122.146,628.424183795846,9
158,0,0,0,0,0,0,23,41,55,64,68,70,71,71,67,61,56,53,51,48,43,34,23,0,0,0,0,0,0,0,34,50,58,59,63,76,91,100,94,80,64,55,54,56,54,45,32,0,0,0,0,0,0,0,24,40,53,59,65,80,94,94,81,69,66,67,67,61,52,40,28,0,0,0,0,0,0,0,39,62,75,75,72,78,91,95,85,72,66,67,69,65,56,43,30,0,0,0,0,0,0,0,30,60,81,85,81,80,84,85,79,69,59,53,52,52,49,43,34,0,0,0,0,0,0,0,24,37,50,59,64,63,59,57,57,58,54,45,36,34,44,53,47,0,0,0,0,0,0,0,14,22,31,40,47,53,57,59,58,56,51,45,40,40,45,47,35,0,ChIJdV5ybPK6j4AR6wZdtj94Nrs,cafe,37.4211531,-122.1395662,37.426,-122.146,783.386980925118,9
159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,49,40,14,0,0,25,37,39,30,0,0,0,0,0,0,0,0,0,0,0,0,0,13,37,54,40,16,0,0,6,21,38,36,0,0,0,0,0,0,0,0,0,0,0,0,0,10,25,38,35,20,0,0,14,42,64,48,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,63,50,16,0,0,11,36,61,52,0,0,0,0,0,0,0,0,0,0,0,0,0,38,67,85,79,52,0,0,21,42,54,39,0,0,0,0,0,0,0,0,0,0,0,0,0,57,100,82,77,48,0,0,17,39,50,35,0,0,0,ChIJiUMw9OW6j4ARAdAD56r5gII,restaurant,37.4257762,-122.1450815,37.426,-122.146,85.00869714328326,9
160,1,0,0,0,1,9,30,55,60,42,24,19,21,24,28,42,79,99,63,28,17,12,8,5,3,1,0,0,0,8,32,63,70,46,33,34,23,30,51,74,91,93,81,59,36,18,7,1,0,0,0,0,3,15,37,59,63,48,36,34,23,28,49,73,91,96,84,63,39,19,7,1,0,0,0,0,0,6,29,63,76,55,36,31,25,28,48,74,94,100,87,62,37,17,6,0,0,0,0,0,1,6,17,31,42,43,35,23,16,20,38,62,80,81,66,44,27,20,17,14,10,5,1,0,0,1,3,6,8,11,14,16,17,19,22,24,26,25,23,21,19,16,13,8,4,1,0,0,0,2,5,8,12,16,19,21,21,19,17,16,19,22,23,19,15,11,8,4,ChIJORy6nXuwj4ARz3b1NVL1Hw4,locality,37.4418834,-122.1430195,37.427,-122.146,1672.7751182373013,10
161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,32,59,81,82,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,21,30,53,75,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,44,64,84,91,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,34,53,82,100,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,68,74,78,80,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ChIJRbsp9uW6j4ARyUJHxK7xFX8,bar,37.4254329,-122.1452003,37.427,-122.146,187.7775269795813,10
162,0,0,0,0,0,0,0,0,0,0,0,15,22,21,0,0,8,25,53,71,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,29,27,0,0,20,42,73,91,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,30,32,0,0,25,47,71,80,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,24,25,0,0,24,48,81,100,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,37,43,0,0,37,50,67,76,69,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,40,56,64,57,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,41,66,76,63,0,0,0,ChIJaWnuL-e6j4ARR6YIY348nZk,bar,37.428562,-122.149672,37.427,-122.146,368.35513855780965,10
163,0,0,0,0,0,0,0,0,0,26,41,57,71,78,77,69,55,42,28,18,0,0,0,0,0,0,0,0,0,0,0,0,0,23,36,49,60,63,62,64,73,81,72,46,0,0,0,0,0,0,0,0,0,0,0,0,0,29,45,52,50,45,47,56,67,69,58,40,0,0,0,0,0,0,0,0,0,0,0,0,0,16,25,35,45,54,63,77,96,100,75,43,0,0,0,0,0,0,0,0,0,0,0,0,0,12,23,37,50,56,54,44,33,35,45,31,0,0,0,0,0,0,0,0,0,0,0,0,0,11,21,32,45,55,62,61,53,42,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,63,75,73,66,56,43,0,0,0,0,0,0,ChIJee8zGO66j4ARTEwZyK9Etgk,point_of_interest,37.4232826,-122.1415481,37.427,-122.146,570.5252406726719,10
164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,54,87,71,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,47,61,59,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,68,91,63,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,65,100,83,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,50,61,54,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,63,65,45,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,46,48,25,0,0,0,ChIJ8QesCuW6j4ARfJfR8qxpWzE,bar,37.42729550000001,-122.1433847,37.427,-122.146,233.79527600744197,10
